OPE ID,School,City,State,Zip Code,Full Address,lat,lon,School Type,Loan Type,Recipients,# of Loans Originated,$ of Loans Originated,avg_loans_originated,# of Disbursements,$ of Disbursements,avg_loans_disbursed
42833,A BETTER U BEAUTY BARBER ACADEMY,ALBUQUERQUE,NM,87110,ALBUQUERQUE NM 87110 ,35.09,-106.56,Proprietary,Total,128,128,388000,3031.25,188,248000,1319.148936
42426,ABCO TECHNOLOGY,INGLEWOOD,CA,90304,INGLEWOOD CA 90304 ,33.94,-118.36,Proprietary,Total,20,20,63656,3182.8,20,31824,1591.2
41833,ABCOTT INSTITUTE,SOUTHFIELD,MI,48075,SOUTHFIELD MI 48075 ,42.50,-83.22,Proprietary,Total,530,530,2631857,4965.767925,530,1329314,2508.139623
3537,ABILENE CHRISTIAN UNIVERSITY,ABILENE,TX,79699,ABILENE TX 79699 ,32.46,-99.72,Private-Nonprofit,Total,45628,46442,481207491,10361.47218,46442,214712305,4623.235541
1541,ABRAHAM BALDWIN AGRICULTURAL COLLEGE,TIFTON,GA,31794,TIFTON GA 31794 ,31.45,-83.53,Public,Total,20236,21418,89257587,4167.409982,21418,44750199,2089.373378
42438,ABRAHAM LINCOLN UNIVERSITY,GLENDALE,CA,91210,GLENDALE CA 91210 ,34.14,-118.26,Proprietary,Total,596,596,6856498,11504.19128,596,3429236,5753.751678
41043,ACADEMY DI CAPELLI,WALLINGFORD,CT,6492,WALLINGFORD CT 6492 ,32.91,-117.16,Proprietary,Total,482,482,1783920,3701.078838,554,916863,1654.987365
42072,ACADEMY DI FIRENZE,JEROME,ID,83338,JEROME ID 83338 ,42.63,-114.51,Proprietary,Total,60,84,121492,1446.333333,84,121492,1446.333333
41335,ACADEMY FOR FIVE ELEMENT ACUPUNCTURE,GAINESVILLE,FL,32601,GAINESVILLE FL 32601 ,29.65,-82.34,Private-Nonprofit,Total,316,316,4617414,14612.06962,316,2672406,8456.981013
33463,ACADEMY FOR NURSING AND HEALTH OCCUPATIONS,WEST PALM BEACH,FL,33417,WEST PALM BEACH FL 33417 ,26.75,-80.11,Private-Nonprofit,Total,963,963,3050653,3167.863967,1530,2088709,1365.169281
41898,ACADEMY FOR SALON PROFESSIONALS,NORTHRIDGE,CA,91324,NORTHRIDGE CA 91324 ,34.24,-118.56,Proprietary,Total,215,215,678861,3157.493023,295,418571,1418.884746
